,T7,F8,Cz,P4
9105,515.67236328125,-1035.2398681640623,416.07696533203125,338.1692199707031
9106,530.8900146484375,-1023.29833984375,433.4001770019531,337.7578430175781
9107,553.583740234375,-1012.359130859375,451.4227600097656,339.4595031738281
9108,543.6954345703125,-1023.4553833007812,442.08795166015625,343.7267150878906
9109,524.2329711914061,-1045.610595703125,425.3332214355469,338.6068115234375
9110,530.3701782226561,-1036.937744140625,433.1383972167969,336.4226989746094
9111,542.738037109375,-1017.8941650390624,452.1370849609375,339.2276306152344
9112,533.418212890625,-1020.59814453125,445.4837951660156,347.2459716796875
9113,516.2744750976561,-1031.2044677734377,427.60333251953125,340.2523498535156
9114,522.7520141601561,-1025.5721435546877,436.42950439453125,334.1226501464844
9115,537.1768188476561,-1005.2009887695312,454.1902770996094,340.62261962890625
9116,537.2403564453125,-1010.4630126953124,446.3514404296875,349.5235595703125
9117,511.45001220703125,-1031.5560302734377,428.1306457519531,342.27191162109375
9118,521.8132934570311,-1025.6357421875,430.56158447265625,335.667236328125
9119,539.7984619140625,-1004.905517578125,448.3186340332031,340.9891052246094
9120,529.8353881835939,-1010.9118041992188,440.9547729492188,341.84930419921875
9121,511.4574890136719,-1027.0233154296877,425.1050720214844,340.6375732421875
9122,523.0997924804689,-1021.9407348632812,436.298583984375,337.73541259765625
9123,547.0875244140625,-1001.3712768554688,461.8196716308594,340.7684631347656
9124,540.0490112304689,-1017.4603271484376,443.9466857910156,341.3705749511719
9125,518.3576049804689,-1029.6785888671877,428.14935302734375,336.4825439453125
9126,525.5457153320311,-1018.8104858398438,429.7163696289063,332.72393798828125
9127,549.2604370117189,-997.122802734375,450.6448669433594,334.90057373046875
9128,538.971923828125,-1004.4530029296876,445.805419921875,341.52392578125
9129,519.4234619140625,-1024.166015625,420.5050048828125,335.28204345703125
9130,530.57958984375,-1012.1759033203124,429.60791015625,334.9230041503906
9131,549.9410400390625,-995.15185546875,451.250732421875,338.5207824707031
9132,532.3223876953125,-1006.8278198242188,432.5362548828125,342.6197204589844
9133,511.37896728515625,-1021.2301635742188,413.0289306640625,339.6165771484375
9134,519.6366577148439,-1001.93603515625,430.05670166015625,336.32171630859375
9135,539.0916137695311,-986.7669677734376,451.3030700683594,339.1341247558594
9136,534.8842163085939,-996.8721923828124,444.631103515625,350.5370788574219
9137,507.87841796875,-1016.1364135742188,420.0113220214844,341.2209777832031
9138,524.0123291015625,-1010.1151733398438,427.8763427734375,336.6583251953125
9139,546.8855590820311,-996.3486328125,453.6666870117188,339.08551025390625
9140,539.1102905273439,-1002.1043090820312,449.72857666015625,346.3670959472656
9141,513.9520263671875,-1019.8763427734376,430.0641784667969,337.4848327636719
9142,533.395751953125,-1010.5191040039062,437.7571716308594,332.5967712402344
9143,549.43994140625,-991.0267333984376,454.2164611816406,332.8772888183594
9144,533.5977172851561,-1004.5203247070312,441.04827880859375,339.9120178222656
9145,519.8984375,-1021.9407348632812,420.9649963378906,331.1307373046875
9146,531.9147338867189,-1019.23681640625,423.9195251464844,327.7984924316406
9147,538.41845703125,-1001.8500366210938,438.3966674804688,332.6379089355469
9148,524.12451171875,-1010.3320922851562,429.2563781738281,334.3096618652344
9149,507.10052490234375,-1025.4188232421877,411.36468505859375,336.8714904785156
9150,512.702880859375,-1014.2814331054688,422.247802734375,333.7673645019531
9151,536.8776245117189,-996.7225952148438,446.5272216796875,340.4580383300781
9152,528.5712890625,-1006.2855224609376,433.1458740234375,346.9766845703125
9153,506.4497680664063,-1020.3662719726562,417.8384399414063,340.5664978027344
9154,515.67236328125,-1016.18505859375,425.27337646484375,334.1937255859375
9155,541.3131103515625,-993.8054809570312,446.5272216796875,337.193115234375
9156,537.8798828125,-998.7421264648438,442.3086242675781,348.3043518066406
9157,513.5518188476561,-1016.5628051757812,414.7941589355469,328.8643493652344
9158,527.830810546875,-1004.0116577148438,422.5245361328125,327.5965270996094
9159,543.3401489257811,-987.6421508789062,448.1278991699219,328.9466552734375
9160,532.1653442382811,-1001.2890014648438,433.5909118652344,328.3033752441406
9161,513.2152709960939,-1015.9344482421876,411.1777038574219,330.69317626953125
9162,517.796630859375,-1006.618408203125,421.75787353515625,325.5657653808594
9163,534.1923217773439,-985.6861572265624,443.95416259765625,339.3510437011719
9164,524.4237060546875,-994.306640625,440.0796508789063,352.4407043457031
9165,503.0502014160156,-1019.3003540039062,417.9468994140625,344.0633239746094
9166,515.64990234375,-1025.62451171875,422.7077941894531,329.4477844238281
9167,539.1738891601561,-1002.9046630859376,444.4141845703125,334.08526611328125
9168,537.468505859375,-1010.2423706054688,431.8032531738281,337.9223937988281
9169,511.0984802246094,-1025.99853515625,413.7918701171875,329.6647033691406
9170,532.6514892578125,-1013.0547485351562,418.7322998046875,333.05303955078125
9171,546.6686401367189,-993.9214477539062,441.7102355957031,335.5363464355469
9172,540.0191040039061,-999.1984252929688,440.49102783203125,340.0391845703125
9173,518.8512573242189,-1012.2207641601562,420.9986572265625,339.7325134277344
9174,521.5215454101561,-1010.9080200195312,427.670654296875,332.9333801269531
9175,542.32666015625,-984.4258422851562,459.2279357910156,344.20916748046875
9176,528.9639892578125,-990.7350463867188,441.6578674316406,346.359619140625
9177,507.0406799316406,-1008.275146484375,417.65521240234375,336.8565368652344
9178,526.458251953125,-999.8080444335938,431.4666442871094,337.8401184082031
9179,530.2691650390625,-989.1343383789062,442.0430908203125,337.0884094238281
9180,522.4901733398439,-987.2606811523438,429.9332885742188,338.9022521972656
9181,498.6932067871094,-1004.4268188476562,412.400634765625,332.3611755371094
9182,513.4022216796875,-996.8871459960938,408.1109619140625,320.21771240234375
9183,534.6710815429689,-981.5348510742188,435.4982604980469,323.9127502441406
9184,538.1304931640625,-984.3098754882812,430.13897705078125,337.6456604003906
9185,519.6254272460939,-1002.5194702148438,420.1459655761719,336.9462890625
9186,530.7666015625,-1006.8876342773438,429.6976623535156,334.2872314453125
9187,547.633544921875,-992.0103149414062,453.3188781738281,344.50836181640625
9188,533.911865234375,-1001.6405639648438,447.1069030761719,348.30810546875
9189,518.3501586914061,-1017.8081665039062,418.5565185546875,338.1916809082031
9190,528.4104614257811,-1006.7156372070312,431.0216064453125,338.883544921875
9191,540.9765014648439,-989.4746704101562,445.8727416992188,336.2282409667969
9192,528.7432861328125,-999.400390625,436.2499694824219,341.2209777832031
9193,502.3695373535156,-1011.5924682617188,411.0019226074219,336.5722961425781
9194,512.8861694335939,-994.3515014648438,419.2446594238281,329.72454833984375
9195,521.4205932617189,-983.7040405273438,428.59814453125,327.3983154296875
9196,519.0270385742189,-982.3202514648438,425.2471923828125,333.7225036621094
9197,500.5519409179688,-996.079345703125,406.626220703125,327.2936096191406
9198,517.8153076171875,-987.3204956054688,416.6603698730469,331.9984130859375
9199,528.4478759765625,-975.4837036132812,438.7145690917969,332.2527160644531
9200,524.2142944335939,-985.1962280273438,442.7237548828125,344.4447937011719
9201,509.1163330078125,-1009.5803833007812,427.1246337890625,341.2209777832031
9202,517.2730712890625,-1003.0093994140624,437.25225830078125,337.5633850097656
9203,535.9500732421875,-984.7848510742188,451.1235656738281,345.24139404296875
9204,540.5576782226561,-996.64404296875,448.4532775878906,348.82794189453125
9205,529.2145385742189,-1011.1212158203124,431.3581848144531,346.0417175292969
9206,524.2591552734375,-1013.5596313476562,427.6743774414063,334.6537170410156
9207,541.5936279296875,-992.9415893554688,453.4834289550781,343.0946960449219
9208,533.3770751953125,-1003.697509765625,439.67572021484375,342.44769287109375
9209,507.87841796875,-1012.97998046875,418.58642578125,338.12060546875
9210,513.9183349609375,-1003.8284301757812,415.4673461914063,323.5237731933594
9211,541.1710205078125,-976.9310302734376,437.94415283203125,334.73974609375
9212,528.1337280273439,-988.2330322265624,427.1171569824219,336.6658020019531
9213,512.3064575195311,-1005.9639282226562,414.62213134765625,332.9857177734375
9214,517.8938598632811,-999.1947021484376,429.9482421875,331.9759521484375
9215,543.9534912109375,-983.0831909179688,454.6914367675781,336.1496887207031
9216,528.2160034179689,-987.0512084960938,445.2033081054688,344.6205749511719
9217,506.4123840332031,-1006.70068359375,418.0291748046875,334.1862487792969
9218,519.9994506835939,-1000.6008911132812,431.3170471191406,335.0351867675781
9219,546.69482421875,-987.6982421875,450.7159118652344,343.5733947753906
9220,537.0608520507811,-994.7142944335938,447.5257873535156,350.3575744628906
9221,514.1016235351561,-1015.9531860351562,425.4454040527344,341.9241027832031
9222,528.8106079101561,-1003.6002807617188,435.9620056152344,338.5881042480469
9223,547.73828125,-986.2097778320312,453.70782470703125,342.017578125
9224,535.415283203125,-991.468017578125,438.67718505859375,344.64300537109375
9225,515.3881225585939,-1004.1014404296876,419.5176696777344,336.2282409667969
9226,517.4974365234375,-1006.83154296875,417.75244140625,326.7513122558594
9227,539.8695068359375,-986.9203491210938,442.4806518554688,330.21820068359375
9228,531.2153930664061,-990.6527709960938,432.5661926269531,335.00152587890625
9229,509.2771301269531,-1005.5599975585938,409.1618957519531,335.0165100097656
9230,519.288818359375,-999.306884765625,422.9845581054688,331.1606750488281
9231,542.9400024414061,-978.8197021484376,442.6564331054688,337.6082458496094
9232,526.7387084960939,-986.6735229492188,428.54205322265625,337.84759521484375
9233,507.1753234863281,-1007.5982666015624,416.7239685058594,341.45660400390625
9234,516.1099243164061,-994.1719970703124,426.720703125,336.92010498046875
